WAGE	AGE	AGE2	AGEW	AGEY	CHILDREN	DEGREEW	FEDUCA	FEDUCH	GRADCOLLW	GRADHS	GRADHSW	HAPPINESS	MARRIED	MEDUCA	MEDUCH	SEX	YEARSCOLL	STATE	GRADCOLL	DEGREE
8.460000038	41	1681	0	0	0	0	0	2	0	1	0	3	2	0	2	2	2	5	1	1
18.86000061	42	1764	40	12	2	2	0	4	1	1	1	2	1	16	0	1	0	38	0	0
7.25	43	1849	0	0	0	0	0	6	0	1	0	3	4	0	6	2	2	28	5	0
35	36	1296	0	0	0	0	0	7	0	1	0	3	2	0	4	2	2	29	5	0
9.5	32	1024	0	12	1	0	0	4	0	1	0	3	2	0	4	2	0	19	0	0
10.32999992	40	1600	0	13	1	0	0	4	0	1	0	3	2	0	3	2	0	45	0	0
18	46	2116	42	5	2	1	0	4	1	1	1	2	1	0	4	1	0	24	0	0
8.149999619	39	1521	0	1	5	0	0	4	0	3	0	2	2	0	4	2	0	28	0	0
14.64999962	35	1225	0	11	2	0	0	6	0	1	0	2	4	0	6	2	2	45	5	0
10	36	1296	0	0	0	0	0	4	0	3	0	2	2	0	4	1	0	1	0	0
17	46	2116	0	17	1	0	16	0	0	1	0	1	2	3	0	2	2	53	1	1
8.949999809	26	676	0	0	0	0	12	8	0	1	0	4	2	11	4	1	4	53	1	2
19	44	1936	41	8	2	2	0	6	1	1	1	2	1	0	4	1	0	45	0	0
10.38000011	33	1089	0	6	1	0	0	2	0	1	0	1	2	0	2	1	0	6	0	0
10.44999981	29	841	0	0	0	0	0	3	0	2	0	2	2	0	7	1	0	13	0	0
12	62	3844	0	0	0	0	0	7	0	1	0	3	4	0	7	2	0	48	0	0
11.5	32	1024	27	3	3	0	0	4	5	1	2	2	1	0	6	1	1	18	5	0
16.29999924	49	2401	0	0	0	0	0	4	0	2	0	2	5	0	2	2	2	39	1	1
13	63	3969	0	0	0	0	12	0	0	1	0	3	4	12	0	2	1	12	5	0
29	60	3600	52	0	0	0	0	7	0	1	2	1	1	0	4	1	5	46	1	4
8	26	676	0	4	3	0	0	4	0	1	0	2	1	0	4	2	2	26	5	0
21	26	676	0	5	1	0	0	6	0	2	0	3	3	0	6	1	1	48	5	0
12.64000034	22	484	19	1	1	0	0	3	0	3	1	2	2	0	4	1	0	8	0	0
60	60	3600	56	0	0	2	10	0	1	1	1	2	1	10	0	1	4	48	1	2
7.550000191	61	3721	0	0	0	0	16	0	0	1	0	3	3	14	0	2	2	21	5	0
